,1992,1997,2002,2007,2012,2017
10,0.9,0.7,0.6,0.4,0.4,0.4
50,19.5,13.8,9.2,6.8,5.9,3.6
100,25,24.5,19.1,13.8,11.1,8.6
200,19,18,15.4,12.8,10.6,9.4
500,13.7,15.3,14.7,13.8,12,12
1000,8,10.2,12.2,12.5,11.3,10.7
>1000,9.9,17.5,28.8,39.9,48.7,55.2
